channel,source_profile,source_category,films_covered,items_tracked,full_videos,shorts,review_discussion_items,context_items,review_share_pct,stored_comments,useful_comments,useful_share_pct,questions,public_comments,views,comments_per_item,tracker_value
Kuttyma Tamil TV,Kuttyma Tamil TV,open_youtube,1,1,1,0,1,0,100.0,11,0,0.0,0,11,368,11.0,5.17
Headlines Tamil,Headlines Tamil,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,29,1.0,5.02
Nakkal With Nannari,Nakkal With Nannari,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,335,1.0,5.02
VISHNU VICHU  ENTERTAINMENTS,VISHNU VICHU  ENTERTAINMENTS,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,329,1.0,5.02
Yappa Ram,Yappa Ram,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,1643,1.0,5.02
Yarl Bhanu,Yarl Bhanu,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,51,1.0,5.02
புதிய உலகம் VJ,புதிய உலகம் VJ,open_youtube,1,1,1,0,1,0,100.0,1,0,0.0,0,1,1775,1.0,5.02
2kUk,2kUk,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,706,0.0,5.0
A to Z 360,A to Z 360,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,308,0.0,5.0
AMN Tv,AMN Tv,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,380,0.0,5.0
Appustudio27,Appustudio27,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,50,0.0,5.0
Best Tamil Movie Review ,Best Tamil Movie Review ,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,53,0.0,5.0
BestinQ Media,BestinQ Media,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,83,0.0,5.0
CSR FILM TALKS,CSR FILM TALKS,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,2420,0.0,5.0
Chennai Bites ,Chennai Bites ,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,26117,0.0,5.0
CinemaDecodeTamil,CinemaDecodeTamil,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,512,0.0,5.0
Filmi Lodhi,Filmi Lodhi,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,2,0.0,5.0
Filmibeat Tamil,Filmibeat Tamil,open_youtube,1,1,1,0,1,0,100.0,0,0,0.0,0,0,3377,0.0,5.0
